TAZID,CO_TAZID,DEVACRES,SA_2016
2338,492338,127.91,0
2339,492339,91.81,0
2340,492340,298.41,0
2341,492341,142.23,0
2342,492342,29.47,0
2343,492343,26.79,0
2344,492344,52.56,0
2346,492346,157.37,0
2347,492347,99.56,0
2345,492345,255.47,0
2348,492348,131.25,0
2350,492350,86.59,0
2352,492352,106.07,0
2355,492355,52.09,0
2356,492356,267.98,0
2353,492353,53.16,0
2308,492308,377.16,0
2357,492357,262.5,0
2358,492358,90.05,0
2359,492359,253.93,0
2360,492360,64.62,0
2362,492362,209.41,0
2363,492363,331.57,0
2364,492364,67.09,0
2361,492361,215.97,0
2365,492365,228.13,0
2367,492367,156.75,0
2368,492368,304.32,0
2370,492370,92.04,0
2369,492369,91.25,0
2371,492371,96.96,0
2372,492372,66.86,0
2374,492374,55.19,0
2349,492349,121.5,0
2375,492375,60.96,0
2373,492373,53.63,0
2376,492376,87.76,0
2378,492378,77.74,0
2379,492379,165.23,0
2377,492377,46.35,0
2382,492382,29.91,0
2383,492383,36.25,0
2380,492380,124.58,0
2384,492384,337.87,0
2387,492387,64.03,0
2388,492388,53.88,0
2389,492389,36.32,0
2385,492385,215.47,0
2390,492390,75.11,0
2391,492391,113.4,0
2393,492393,47.4,0
2394,492394,31.13,0
2395,492395,66.52,0
2392,492392,64.36,0
2396,492396,22.32,0
2397,492397,21.79,0
2399,492399,29.88,0
2400,492400,178.08,0
2401,492401,163.01,0
2402,492402,147.71,0
2405,492405,142.46,0
2406,492406,66.73,0
2404,492404,136.83,0
2409,492409,132.59,0
2410,492410,87.38,0
2411,492411,50.39,0
2415,492415,157.02,0
2416,492416,64.71,0
2417,492417,48.56,0
2413,492413,32.08,0
2418,492418,32.63,0
2419,492419,44.25,0
2421,492421,22.4,0
2422,492422,243.6,0
2423,492423,307.71,0
2426,492426,201.71,0
2427,492427,84.31,0
2425,492425,217.31,0
2428,492428,169.61,0
2429,492429,40.69,0
2430,492430,207.87,0
2424,492424,428.29,0
2433,492433,303.05,0
2434,492434,190.54,0
2439,492439,285.55,0
2441,492441,179.58,0
2436,492436,142.16,0
2437,492437,120.95,0
2447,492447,96.93,0
2448,492448,65.8,0
2450,492450,33.25,0
2451,492451,63.93,0
2456,492456,31.54,0
2453,492453,34.56,0
2452,492452,48.34,0
2457,492457,55.79,0
2454,492454,74.5,0
2445,492445,253.19,0
2446,492446,117.15,0
2458,492458,62.24,0
2460,492460,33.13,0
2461,492461,32.46,0
2462,492462,48.39,0
2463,492463,71.87,0
2465,492465,60.25,0
2466,492466,22.01,0
2470,492470,148.69,0
2467,492467,129.08,0
2471,492471,109.16,0
2472,492472,204.07,0
2473,492473,157.77,0
2478,492478,95.75,0
2474,492474,115.17,0
2480,492480,223.29,0
2482,492482,212.7,0
2483,492483,355.64,0
2486,492486,185.34,0
2487,492487,95.34,0
2485,492485,190.52,0
2503,492503,127.87,0
2488,492488,197.49,0
2489,492489,155.54,0
2491,492491,120.51,0
2492,492492,163.93,0
2494,492494,162.67,0
2633,492633,132.7,0
2495,492495,122.25,0
2496,492496,124.52,0
2497,492497,129.62,0
2484,492484,198.71,0
2499,492499,121.66,0
2636,492636,174.21,0
2513,492513,163.38,0
2514,492514,160.93,0
2517,492517,119.17,0
2515,492515,174.55,0
2519,492519,258.08,0
2518,492518,224.3,0
2521,492521,241.18,0
2525,492525,71.91,0
2526,492526,98.79,0
2527,492527,98.95,0
2528,492528,171.3,0
2530,492530,211.2,0
2532,492532,85.68,0
2531,492531,68.55,0
2536,492536,74.09,0
2539,492539,375.24,0
2533,492533,165.48,0
2540,492540,98.03,0
2542,492542,254.55,0
2546,492546,217.8,0
2547,492547,107.43,0
2541,492541,266.57,0
2548,492548,181.58,0
2549,492549,645.52,0
2568,492568,140.2,0
2551,492551,110.59,0
2553,492553,571.87,0
2522,492522,228.66,0
2556,492556,171.07,0
2523,492523,172.4,0
2557,492557,275.78,0
2559,492559,106.38,0
2560,492560,82.44,0
2558,492558,51.58,0
2561,492561,169.65,0
2563,492563,146.29,0
2564,492564,195.33,0
2565,492565,177.85,0
2562,492562,137.35,0
2566,492566,213.77,0
2567,492567,145.43,0
2577,492577,76.29,0
2569,492569,171.5,0
2570,492570,220.83,0
2571,492571,187.19,0
2572,492572,144.62,0
2573,492573,269.32,0
2575,492575,300.53,0
2576,492576,152.44,0
2581,492581,118.65,0
2583,492583,129.77,0
2584,492584,184.86,0
2585,492585,207.04,0
2586,492586,381.78,0
2589,492589,396.81,0
2738,492738,119.76,0
2590,492590,382.11,0
2588,492588,134.22,0
2592,492592,86.53,0
2594,492594,38.84,0
2593,492593,43.52,0
2595,492595,84.64,0
2596,492596,85.54,0
2597,492597,40.88,0
2599,492599,84.85,0
2598,492598,85.57,0
2580,492580,223.95,0
2600,492600,85.52,0
2587,492587,125.93,0
2601,492601,65.41,0
2602,492602,70.02,0
2603,492603,90.16,0
2604,492604,171.99,0
2606,492606,101.23,0
2608,492608,103.82,0
2612,492612,145.38,0
2609,492609,139.65,0
2607,492607,67.22,0
2610,492610,69.71,0
2613,492613,116.28,0
2614,492614,87.43,0
2611,492611,61.65,0
2615,492615,79.64,0
2616,492616,147.98,0
2617,492617,155.05,0
2623,492623,136.36,0
2618,492618,152.74,0
2624,492624,198.52,0
2620,492620,147.88,0
2621,492621,133.68,0
2622,492622,101.68,0
2625,492625,221.09,0
2629,492629,1302.45,0
2635,492635,208.84,0
2637,492637,207.76,0
2654,492654,322.81,0
2639,492639,378.6,0
2640,492640,166.91,0
2644,492644,145.12,0
2652,492652,242.97,0
2649,492649,296.17,0
2650,492650,176.35,0
2642,492642,221.51,0
2656,492656,370.01,0
2659,492659,168.28,0
2657,492657,238.46,0
2658,492658,169.2,0
2660,492660,137.23,0
2661,492661,208.65,0
2662,492662,67.36,0
2663,492663,143.6,0
2669,492669,662.81,0
2672,492672,1416.84,0
2686,492686,131.88,0
2684,492684,175.37,0
2685,492685,228.09,0
2683,492683,508.42,0
2687,492687,150.27,0
2689,492689,117.16,0
2690,492690,298.05,0
2705,492705,135.95,0
2703,492703,441.8,0
2707,492707,287.38,0
2710,492710,285.34,0
2711,492711,185.18,0
2714,492714,99.36,0
2713,492713,119.08,0
2712,492712,180.82,0
2715,492715,233.65,0
2709,492709,1620.19,0
2717,492717,402.84,0
2720,492720,832.29,0
2721,492721,261.38,0
2723,492723,226.53,0
2688,492688,247.76,0
2724,492724,204.88,0
2725,492725,90.68,0
2726,492726,113.08,0
2727,492727,473.68,0
2730,492730,196.39,0
2735,492735,145.1,0
2734,492734,136.57,0
2736,492736,294.44,0
2737,492737,121.97,0
2746,492746,295.73,0
2741,492741,235.55,0
2745,492745,181.71,0
2744,492744,191.6,0
2740,492740,232.91,0
2749,492749,153.36,0
2752,492752,319.05,0
2750,492750,94.66,0
2751,492751,122.14,0
2762,492762,158.91,0
2763,492763,134.18,0
2764,492764,176.78,0
2766,492766,463.58,0
2767,492767,177.28,0
2769,492769,857.77,0
2777,492777,211.92,0
2776,492776,110.18,0
2772,492772,175.55,0
2771,492771,231.99,0
2774,492774,97.41,0
2775,492775,82.12,0
2779,492779,78.95,0
2778,492778,84.09,0
2781,492781,66.68,0
2782,492782,131.04,0
2783,492783,154.7,0
2784,492784,198.24,0
2786,492786,185.51,0
2787,492787,228.75,0
2790,492790,147.97,0
2788,492788,212.12,0
2789,492789,178.81,0
2793,492793,224.5,0
2791,492791,226.61,0
2792,492792,252.54,0
2794,492794,182.46,0
2780,492780,115.94,0
2795,492795,114.61,0
2798,492798,149.99,0
2797,492797,163.35,0
2796,492796,64.58,0
2800,492800,124.94,0
2802,492802,72.44,0
2804,492804,88.69,0
2801,492801,124.78,0
2805,492805,118.77,0
2807,492807,147.14,0
2810,492810,200.65,0
2812,492812,224.82,0
2811,492811,598.59,0
2813,492813,211.05,0
2809,492809,211.9,0
2815,492815,88.86,0
2816,492816,206.24,0
2821,492821,122.15,0
2822,492822,149.61,0
2823,492823,323.59,0
2825,492825,583.92,0
2826,492826,177.25,0
2827,492827,86.06,0
2828,492828,157.95,0
2829,492829,117.59,0
2832,492832,100.76,0
2833,492833,153.72,0
2830,492830,248.29,0
